"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-26","3.58"," 1549","0.00",,"62","31","  100","  100","10.1","12.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-27","5.59"," 1422","0.04",,"64","37","  180","  180","16.1","25.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-28","12.30"," 1801","0.40",,"63","37","  240","  210","35.1","55.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-29","12.53"," 0217","0.00",,"43","30","  300","  310","23.0","38.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-01","6.93"," 1348","0.00",,"51","26","  150","  160","17.0","33.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-02","5.82"," 2101","0.57",,"50","39","  110","  280","12.1","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-03","2.46"," 1319","0.00",,"66","38","  350","   20","8.9","13.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-04","7.61"," 1536","0.00",,"69","45","  140","  140","21.0","23.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-05","5.14"," 0145","0.30",,"54","47","   70","  100","12.1","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-06","5.14"," 1649","0.15",,"55","49","   70","   70","10.1","13.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-07","7.83"," 0926","0.07",,"63","43","  340","  310","18.1","25.9",,,,
